,review_id,restaurant_id,author,dining_mode,dining_meal_type,dining_price_range,dining_stars_food,dining_stars_service,dining_stars_atmosphere,dining_dish_recommend,dining_kid_friendliness,dining_recommend_for_vegetarians,dining_dish_recommend_veggie,dining_veggie_tips,dining_parking_space_availability,dining_parking_options,dining_parking_tips,dining_accessibility_tips
18992,23463,ChIJm7waYdT6mUcRxPFyE982gE0,Mark Boss,,,,,,,,,,,Das meiste ist sogar vegan,,,Mitten in der Innenstadt. Daher am besten beim Parkhaus König oder beim Nonnenhaus ,
18993,23464,ChIJm7waYdT6mUcRxPFyE982gE0,Samuel,,,,,,,,,,,,,,,
18994,23465,ChIJm7waYdT6mUcRxPFyE982gE0,Birgit Neumann,,,,4.0,4.0,5.0,,,,,,,,,
18995,23466,ChIJm7waYdT6mUcRxPFyE982gE0,Tam T,Verzehr im Restaurant,Mittagessen,10–20 €,,,,,,,,,,,,
18996,23467,ChIJm7waYdT6mUcRxPFyE982gE0,Cortas Quen,,,,,,,,,,,,,,,
18997,23468,ChIJm7waYdT6mUcRxPFyE982gE0,Matthias,,,,5.0,5.0,5.0,,,,,,,,,
18998,23469,ChIJm7waYdT6mUcRxPFyE982gE0,Volker Kugel,,,,,,,,,,,,,,,
18999,23470,ChIJm7waYdT6mUcRxPFyE982gE0,Oh Ha,,,,,,,,,,,,,,,
19000,23471,ChIJm7waYdT6mUcRxPFyE982gE0,Rezensiermich161,,,,5.0,5.0,5.0,,,,,,,,,
19001,23472,ChIJm7waYdT6mUcRxPFyE982gE0,Marc Enslin,Verzehr im Restaurant,,10–20 €,5.0,5.0,5.0,,,,,,,,,
19002,23473,ChIJm7waYdT6mUcRxPFyE982gE0,The Schwers,,,,,,,,,,,,,,,
19003,23474,ChIJm7waYdT6mUcRxPFyE982gE0,Hans Meyer,,,,,,,,,,,,,,,
19004,23475,ChIJm7waYdT6mUcRxPFyE982gE0,Chris Ryan,,,,,,,,,,,,,,,
19005,23476,ChIJm7waYdT6mUcRxPFyE982gE0,Oskar Otto,,,,,,,,,,,,,,,
19006,23477,ChIJm7waYdT6mUcRxPFyE982gE0,Evchen 123,,,,,,,,,,,,,,,
19007,23478,ChIJm7waYdT6mUcRxPFyE982gE0,Tobias Stoll,,,,,,,,,,,,,,,
19008,23479,ChIJm7waYdT6mUcRxPFyE982gE0,Yuki,,,,,,,,,,,,,,,
19009,23480,ChIJm7waYdT6mUcRxPFyE982gE0,Daniela Moumouris,,,,,,,,,,,,,,,
19010,23481,ChIJm7waYdT6mUcRxPFyE982gE0,Frank Drebin,,,,,,,,,,,,,,,
19011,23482,ChIJm7waYdT6mUcRxPFyE982gE0,Nik Bloomquist,,,,,,,,,,,,,,,
19012,23483,ChIJm7waYdT6mUcRxPFyE982gE0,Shikorina83 ja,,,,,,,,,,,,,,,
19013,23484,ChIJm7waYdT6mUcRxPFyE982gE0,Stefan Eissler,,,,,,,,,,,,,,,
19014,23485,ChIJm7waYdT6mUcRxPFyE982gE0,Marie Jo,,,,,,,,,,,,,,,
19015,23486,ChIJm7waYdT6mUcRxPFyE982gE0,Felix Giesa,,,,,,,,,,,,,,,
19016,23487,ChIJm7waYdT6mUcRxPFyE982gE0,Anne Burckhardt,,,,,,,,,,,,,,,
19017,23488,ChIJm7waYdT6mUcRxPFyE982gE0,Chris,,,,,,,,,,,,,,,
19018,23489,ChIJm7waYdT6mUcRxPFyE982gE0,Jan Kirchner,,,,,,,,,,,,,,,
19019,23490,ChIJm7waYdT6mUcRxPFyE982gE0,Janina Kühnebrger,,,,,,,,,,,,,,,
19020,23491,ChIJm7waYdT6mUcRxPFyE982gE0,Gerd Böttler,,,,,,,,,,,,,,,
19021,23492,ChIJm7waYdT6mUcRxPFyE982gE0,Anna D.,,,,,,,,,,,,,,,
19022,23493,ChIJm7waYdT6mUcRxPFyE982gE0,Willi Kappler,Verzehr im Restaurant,Mittagessen,10–20 €,5.0,5.0,5.0,Falafel Teller Und Pommes Frittes,,Sehr empfehlenswert,"Ausschließlich vegetarische Speisekarte, Vegetarische Speisekarte/Speisenauswahl, Als vegetarisch ausgewiesene Gerichte",,,,,
19023,23494,ChIJm7waYdT6mUcRxPFyE982gE0,Sebastian Mutz,,,,,,,,,,,,,,,
19024,23495,ChIJm7waYdT6mUcRxPFyE982gE0,Bill „Bode“ Kauderer,Verzehr im Restaurant,Abendessen,,,,,,,,,,,,,
19025,23496,ChIJm7waYdT6mUcRxPFyE982gE0,Alexander Maier,,,,,,,,,,,,,,,
19026,23497,ChIJm7waYdT6mUcRxPFyE982gE0,Nadine Berrez,,,,,,,,,,,,,,,
19027,23498,ChIJm7waYdT6mUcRxPFyE982gE0,Meike Lütjens,,,,,,,,,,,,,,,
19028,23499,ChIJm7waYdT6mUcRxPFyE982gE0,Tamara Meißner,,,,5.0,4.0,5.0,Falafel Teller Und Pommes Frittes,,,,,,,,
19029,23500,ChIJm7waYdT6mUcRxPFyE982gE0,Christian Ammer,,,,,,,,,,,,,,,
19030,23501,ChIJm7waYdT6mUcRxPFyE982gE0,Julian Beger,,,,,,,,,,,,,,,
19031,23502,ChIJm7waYdT6mUcRxPFyE982gE0,Stefan Unbehauen,,,,,,,,,,,,,,,
19032,23503,ChIJm7waYdT6mUcRxPFyE982gE0,Holger Renner,,,,,,,,,,,,,,,
19033,23504,ChIJm7waYdT6mUcRxPFyE982gE0,Chris S.,,,,,,,,,,,,,,,
19034,23505,ChIJm7waYdT6mUcRxPFyE982gE0,Jurian Kahl,,,,,,,,,,,,,,,
19035,23506,ChIJm7waYdT6mUcRxPFyE982gE0,Christoph Fiechtner,,,,,,,,,,,,,,,
19036,23507,ChIJm7waYdT6mUcRxPFyE982gE0,Albin Endler,,,,,,,,,,,,,,,
19037,23508,ChIJm7waYdT6mUcRxPFyE982gE0,Markus Frindt,,,,,,,,,,,,,,,
19038,23509,ChIJm7waYdT6mUcRxPFyE982gE0,Luke FunChannel,,,,,,,,,,,,,,,
19039,23510,ChIJm7waYdT6mUcRxPFyE982gE0,Matilda Keßler,,,,,,,,,,,,,,,
19040,23511,ChIJm7waYdT6mUcRxPFyE982gE0,Georg,,,,,,,,,,,,,,,
19041,23512,ChIJm7waYdT6mUcRxPFyE982gE0,Maraike Langeneck,,,,,,,,,,,,,,,
19042,23513,ChIJm7waYdT6mUcRxPFyE982gE0,Felix Baiker,,,,,,,,,,,,,,,
19043,23514,ChIJm7waYdT6mUcRxPFyE982gE0,Elly,Verzehr im Restaurant,Mittagessen,20–30 €,5.0,5.0,5.0,"Falafel Teller Und Pommes Frittes, Vegane Pommes Mit Mayo, Erdnusssoße",,,,,,,,
19044,23515,ChIJm7waYdT6mUcRxPFyE982gE0,Johanna Bowen,,,,,,,,,,,,,,,
19045,23516,ChIJm7waYdT6mUcRxPFyE982gE0,Umut Tübinger,,,,,,,,,,,,,,,
19046,23517,ChIJm7waYdT6mUcRxPFyE982gE0,Morad B,Verzehr im Restaurant,Abendessen,10–20 €,4.0,5.0,5.0,,,,,,,,,
19047,23518,ChIJm7waYdT6mUcRxPFyE982gE0,Julian Nobbe,,,,,,,,,,,,,,,
19048,23519,ChIJm7waYdT6mUcRxPFyE982gE0,O. D.,,,,5.0,5.0,5.0,,,,,,,,,
19049,23520,ChIJm7waYdT6mUcRxPFyE982gE0,Percy Jackson,,,,,,,,,,,,,,,
19050,23521,ChIJm7waYdT6mUcRxPFyE982gE0,Andreas Muecke,,,,,,,,,,,,,,,
19051,23522,ChIJm7waYdT6mUcRxPFyE982gE0,Markus,,,,,,,,,,,,,,,
19052,23523,ChIJm7waYdT6mUcRxPFyE982gE0,Isa,,,,5.0,5.0,5.0,,,,,,,,,
19053,23524,ChIJm7waYdT6mUcRxPFyE982gE0,K. K.,,,,5.0,5.0,5.0,,,,,,,,,
19054,23525,ChIJm7waYdT6mUcRxPFyE982gE0,Emilia W,,,,,,,,,,,,,,,
19055,23526,ChIJm7waYdT6mUcRxPFyE982gE0,Eszter Juhasz,,Mittagessen,10–20 €,5.0,5.0,5.0,,,,,,,,,
19056,23527,ChIJm7waYdT6mUcRxPFyE982gE0,MEXES21,Verzehr im Restaurant,Mittagessen,,3.0,3.0,5.0,,,,,Der Name sagt ja eigentlich schon alles,,,,
19057,23528,ChIJm7waYdT6mUcRxPFyE982gE0,Petra David,,,,5.0,5.0,5.0,,,,,,,,,
19058,23529,ChIJm7waYdT6mUcRxPFyE982gE0,K. B.,Verzehr im Restaurant,Mittagessen,10–20 €,4.0,2.0,3.0,Falafel Im Fladenbrot,,,,,,,,
19059,23530,ChIJm7waYdT6mUcRxPFyE982gE0,Katharina Jungnickel,,,,,,,,,,,,,,,
19060,23531,ChIJm7waYdT6mUcRxPFyE982gE0,Rainer Sauter,,,,,,,,,,,,,,,
19061,23532,ChIJm7waYdT6mUcRxPFyE982gE0,Matthias,,,,,,,,,,,,,,,
19062,23533,ChIJm7waYdT6mUcRxPFyE982gE0,Anna F.,,,,,,,,,,,,,,,
19063,23534,ChIJm7waYdT6mUcRxPFyE982gE0,Sven Reutter,,,,,,,,,,,,,,,
19064,23535,ChIJm7waYdT6mUcRxPFyE982gE0,korrenkid,,,,,,,,,,,,,,,
