id,name,types,primaryType,primaryTypeDisplayName,businessStatus,pureServiceAreaBusiness,formattedAddress,location,city
ChIJ62j582sHl0cRba-ULmhJTG4,"{'text': 'Restaurant Italy Italy', 'languageCode': 'de'}","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Kiefernweg 2, 76149 Karlsruhe, Germany","{'latitude': 49.047809199999996, 'longitude': 8.3929452}",Karlsruhe
ChIJDRjGSnQHl0cRrpGQzEm6HIw,"{'text': 'Event Restaurant Panoramic', 'languageCode': 'de'}","['wedding_venue', 'catering_service', 'food_delivery', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'establishment']",wedding_venue,"{'text': 'Wedding venue', 'languageCode': 'en'}",OPERATIONAL,,"Am Sandfeld 11a, 76149 Karlsruhe, Germany","{'latitude': 49.0436172, 'longitude': 8.3920546}",Karlsruhe
ChIJGY3SpMWPC0ERUh0wtEgsx80,"{'text': 'Asia Honey Hoa Imbiss', 'languageCode': 'de'}","['fast_food_restaurant', 'thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",fast_food_restaurant,"{'text': 'Fast food restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Am Sandfeld 1, 76149 Karlsruhe, Germany","{'latitude': 49.044091599999994, 'longitude': 8.391113899999999}",Karlsruhe
ChIJqSXtDnQHl0cRpn4feOo3O_I,"{'text': 'STAR Döner & Pizza', 'languageCode': 'en'}","['fast_food_restaurant', 'meal_delivery', 'food_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_delivery,"{'text': 'Meal delivery', 'languageCode': 'en'}",OPERATIONAL,,"Am Sandfeld 1, 76149 Karlsruhe, Germany","{'latitude': 49.044309399999996, 'longitude': 8.39128}",Karlsruhe
ChIJ_8AQJeIHl0cRTqFmrtCFqxM,"{'text': 'Best Döner Pizza Haus Waldstadt', 'languageCode': 'de'}","['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Elbinger Str. 16H, 76139 Karlsruhe, Germany","{'latitude': 49.041682599999994, 'longitude': 8.4434648}",Karlsruhe
ChIJ30NvcA4Il0cRdJeZc85HJqs,"{'text': 'Griechisches Restaurant Kreta Boem', 'languageCode': 'de'}","['greek_restaurant', 'mediterranean_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",greek_restaurant,"{'text': 'Greek restaurant', 'languageCode': 'en'}",OPERATIONAL,,"An d. Feldshütte 1, 76139 Karlsruhe, Germany","{'latitude': 49.0407965, 'longitude': 8.4558938}",Karlsruhe
ChIJLxd9cxsIl0cR_K-D1fI1ugQ,"{'text': 'Pizzeria Made In Sud', 'languageCode': 'de'}","['italian_restaurant', 'pizza_restaurant', 'meal_delivery', 'food_delivery', 'food_store', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Buchenring 3, 76297 Stutensee, Germany","{'latitude': 49.0486692, 'longitude': 8.463516199999999}",Karlsruhe
ChIJ_woFwBoIl0cRPn2Os48pBQQ,"{'text': 'Imbis Hähnchenstand EBRAHIMI', 'languageCode': 'de'}","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"{'text': 'Takeout restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Kreisstraße 11, 76297 Stutensee, Germany","{'latitude': 49.0462888, 'longitude': 8.4614592}",Karlsruhe
ChIJRbxR4RgIl0cRYXsUS9iJ0F8,"{'text': 'VSV Büchig e.V.', 'languageCode': 'en'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Waldstraße 56, 76297 Stutensee, Germany","{'latitude': 49.04775, 'longitude': 8.470329999999999}",Karlsruhe
ChIJix5AUo0Jl0cR-P2LZDfHnEc,"{'text': 'En Edem zur Gärtnerklause', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Kanalstraße 72, 76356 Weingarten (Baden), Germany","{'latitude': 49.046099899999994, 'longitude': 8.511687}",Karlsruhe
ChIJLwL73NQJl0cRoLbsAsS2BXQ,"{'text': 'Belvedere', 'languageCode': 'de'}","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Kanalstraße 73, 76356 Weingarten (Baden), Germany","{'latitude': 49.047987, 'longitude': 8.517788699999999}",Karlsruhe
ChIJm8uV-wiol0cRWwoiO5BamhI,"{'text': 'Germania Gaststätte & Partyservice Patrick Blocher', 'languageCode': 'de'}","['catering_service', 'food_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",catering_service,"{'text': 'Caterer', 'languageCode': 'en'}",OPERATIONAL,,"Ringstraße 67, 76356 Weingarten (Baden), Germany","{'latitude': 49.050137299999996, 'longitude': 8.5199707}",Karlsruhe
