id,name,types,reviewsLink,primaryType
ChIJNzGjDMj6mUcRtAM9feNOR_o,"{'text': 'Bien Asien', 'languageCode': 'en'}","vietnamese_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fac80ca33137:0xfa474ee37d3d03b4!9m1!1b1,vietnamese_restaurant
ChIJgbc7VAD7mUcRFK-2BDoQmI8,"{'text': 'Emanuel Gastronomy', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb00543bb781:0x8f98103a04b6af14!9m1!1b1,restaurant
ChIJ56qMUeH7mUcRH0fK0cu5eIM,"{'text': 'EAT HAPPY', 'languageCode': 'de'}","sushi_restaurant, meal_takeaway, japanese_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbe1518caae7:0x8378b9cbd1ca471f!9m1!1b1,meal_takeaway
ChIJ6RNQF8j6mUcRi320am8XSNQ,"{'text': ""McDonald's"", 'languageCode': 'de'}","fast_food_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fac8175013e9:0xd448176f6ab47d8b!9m1!1b1,fast_food_restaurant
ChIJoaVQBwD7mUcRuGwWp3Y09iw,"{'text': 'Mr. & Mrs. Wurst', 'languageCode': 'de'}","fast_food_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb000750a5a1:0x2cf63476a7166cb8!9m1!1b1,fast_food_restaurant
ChIJ1YL7FMj6mUcRusMCXLdm5JI,"{'text': 'Fischfeinkost Lauriolas', 'languageCode': 'de'}","sushi_restaurant, fast_food_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fac814fb82d5:0x92e466b75c02c3ba!9m1!1b1,restaurant
ChIJS8J6Dsj6mUcRlc-zXwH1D-M,"{'text': 'Udo-Snack', 'languageCode': 'de'}","hamburger_restaurant, fast_food_restaurant, meal_takeaway, american_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fac80e7ac24b:0xe30ff5015fb3cf95!9m1!1b1,meal_takeaway
ChIJRZ6stsn6mUcR9Xazz9KPi4Y,"{'text': 'Kaplan Döner Kebap House', 'languageCode': 'de'}","fast_food_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fac9b6ac9e45:0x868b8fd2cfb376f5!9m1!1b1,restaurant
ChIJ3xMpjcT6mUcRI_s5Q22AZBY,"{'text': 'Meze Akademie', 'languageCode': 'de'}","greek_restaurant, mediterranean_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fac48d2913df:0x1664806d4339fb23!9m1!1b1,greek_restaurant
ChIJz36Zt7r7mUcRFRTWt7AqvHM,"{'text': 'An An', 'languageCode': 'de'}","vietnamese_restaurant, sushi_restaurant, japanese_restaurant, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbbab7997ecf:0x73bc2ab0b7d61415!9m1!1b1,vietnamese_restaurant
ChIJ688m6Q77mUcRgGyaJljddKs,"{'text': 'Grill California', 'languageCode': 'en'}","restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb0ee926cfeb:0xab74dd58269a6c80!9m1!1b1,restaurant
ChIJS2PzG4n7mUcRkLDEHydEi_0,"{'text': ""Abhi's Lieferservice"", 'languageCode': 'en'}","restaurant, meal_delivery, food_delivery, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb891bf3634b:0xfd8b44271fc4b090!9m1!1b1,restaurant
ChIJa8lCtLP6mUcRDmCYosD7Ozk,"{'text': 'JAPENGO', 'languageCode': 'de'}","restaurant, wedding_venue, event_venue, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fab3b442c96b:0x393bfbc0a298600e!9m1!1b1,restaurant
ChIJE5A7XwD7mUcRo1kHbllmqWs,"{'text': 'Venezia', 'languageCode': 'de'}","restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb005f3b9013:0x6ba966596e0759a3!9m1!1b1,restaurant
ChIJFT2wv8DvmUcRCZn_Fe_ieMA,"{'text': 'Etna Ristorante', 'languageCode': 'en'}","indian_restaurant, meal_delivery, food_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799efc0bfb03d15:0xc078e2ef15ff9909!9m1!1b1,indian_restaurant
ChIJqyQigITvmUcRH53hnYXytbw,"{'text': 'Taj Tandoori', 'languageCode': 'en'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799ef84802224ab:0xbcb5f2859de19d1f!9m1!1b1,restaurant
ChIJcxCnJsHxmUcRytI8wyoNivk,"{'text': 'Kreis Pizza & Kebap Haus Kusterdingen', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799f1c126a71073:0xf98a0d2ac33cd2ca!9m1!1b1,restaurant
