id,name,accessibilityOptions,allowsDogs,goodForChildren,goodForGroups,goodForWatchingSports,menuForChildren
ChIJizM6MAH7mUcR2jJcSvVhqD0,"{'text': 'Ltt-lokal', 'languageCode': 'de'}",,,,True,,
ChIJGc1zQVH7mUcRN5mp480Ucdg,"{'text': 'Ada Bäckerei', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False}",,,,,
ChIJAdkuDNL6mUcR8YG0xyKK28I,"{'text': 'Zum Alten Fritz', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False}",,True,True,False,
ChIJeSRAvtH6mUcR1bt6Z3zWe-o,"{'text': 'Padeffke - the coffeehouse', 'languageCode': 'en'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False}",,,,,
ChIJ79fGDM_6mUcRfNTVVsNVXco,"{'text': 'Gaststätte „Herzog Ulrich“', 'languageCode': 'de'}",{'wheelchairAccessibleEntrance': False},,True,True,False,True
ChIJx774JR_7mUcR3_uhwg9KT_c,"{'text': 'Restaurant Hölderlinturm', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJMTjKcn_7mUcRN2rN8A4_YZc,"{'text': 'Gardens Tübingen', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,False,
ChIJP2j5YRb7mUcRvlrJted0Q_c,"{'text': 'Miko Döner', 'languageCode': 'de'}",,,True,True,False,
ChIJNzGjDMj6mUcRtAM9feNOR_o,"{'text': 'Bien Asien', 'languageCode': 'en'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,,False,False
ChIJgbc7VAD7mUcRFK-2BDoQmI8,"{'text': 'Emanuel Gastronomy', 'languageCode': 'de'}",,,True,,False,False
ChIJ1YL7FMj6mUcRusMCXLdm5JI,"{'text': 'Fischfeinkost Lauriolas', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,,False,
ChIJRZ6stsn6mUcR9Xazz9KPi4Y,"{'text': 'Kaplan Döner Kebap House', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,False,False
